City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,bucerias,20.75,-105.3333,302.58,74,37,2.18,MX,1731279115
234,santa rosa,14.3122,121.1114,300.34,95,100,3.15,PH,1731279116
235,kodiak,57.79,-152.4072,276.88,93,100,7.2,US,1731279117
236,santana,-0.0583,-51.1817,303.25,70,0,5.14,BR,1731279118
237,prince rupert,54.3161,-130.3201,281.2,78,100,13.89,CA,1731279119
238,mount pearl,47.5166,-52.7813,275.45,67,0,13.89,CA,1731279120
239,banda aceh,5.5577,95.3222,299.54,76,100,1.43,ID,1731279121
240,ta`u,-14.2336,-169.5144,300.2,84,67,7.74,AS,1731279123
241,tarancon,40.0085,-3.0073,284.54,72,40,1.54,ES,1731279124
242,savalou,7.9281,1.9756,298.85,69,23,1.33,BJ,1731279125
243,happy valley-goose bay,53.3168,-60.3315,275.32,69,20,4.12,CA,1731279126
244,alice springs,-23.7,133.8833,292.9,77,20,1.03,AU,1731279127
245,westport,41.1415,-73.3579,287.02,66,75,6.69,US,1731279128
246,ma'rib,15.4591,45.3253,292.63,37,2,2.17,YE,1731279129
247,vilyuchinsk,52.9306,158.4028,269.3,95,100,0.98,RU,1731279130
248,argo,37.6333,22.7333,283.03,77,22,2.67,GR,1731279131
249,pecos,31.4229,-103.4932,297.2,13,0,2.06,US,1731279132
250,taoudenni,22.6783,-3.9836,298.48,20,27,4.43,ML,1731279133
251,vorgashor,67.5833,63.95,257.15,98,84,3.68,RU,1731279135
252,corner brook,48.9667,-57.9484,275.57,80,100,5.36,CA,1731279136
253,manokwari,-0.8667,134.0833,300.8,71,100,0.5,ID,1731278954
254,sandnessjoen,66.0217,12.6316,278.21,93,75,0.0,NO,1731279090
255,keflavik,64.0049,-22.5624,279.39,75,75,9.77,IS,1731279139
256,aitape,-3.1374,142.3475,301.82,72,82,1.2,PG,1731279140
257,igarka,67.4667,86.5833,260.35,91,100,4.14,RU,1731279141
258,san antonio de pale,-1.4014,5.6325,299.15,83,73,3.44,GQ,1731279142
259,newman,37.3138,-121.0208,295.96,32,21,0.89,US,1731279143
260,skierniewice,51.9548,20.1584,275.98,74,8,3.44,PL,1731279145
261,lijiang,26.8688,100.2207,277.88,91,0,1.85,CN,1731279147
262,ancud,-41.8697,-73.8203,282.48,74,37,6.72,CL,1731279148
263,kapuskasing,49.4169,-82.4331,280.15,81,100,2.57,CA,1731279149
264,byford,-32.2167,116.0,290.19,78,4,2.06,AU,1731279150
265,choibalsan,48.0667,114.5,269.06,74,78,6.84,MN,1731279151
266,nantucket,41.2835,-70.0995,286.21,71,0,6.17,US,1731279152
267,shingu,33.7333,135.9833,291.17,89,100,0.96,JP,1731279153
268,tarawa,1.419,172.984,304.2,70,40,6.17,KI,1731279154
269,san felipe,10.3399,-68.7425,295.96,92,100,0.82,VE,1731279155
